TimeStamp,xVel1,yVel1,xVel2,yVel2
22:31.9,-0.016112721,0.040073571,0.01818005,0.002249571
22:32.0,-0.015705069,0.03994155,0.018839902,0.002919484
22:32.1,-0.016163866,0.040269582,0.019511818,0.002197149
22:32.4,-0.015975341,0.040317777,0.020831846,0.001539262
22:32.5,-0.016045651,0.040236153,0.02190762,0.001736684
22:32.7,-0.01642075,0.04107194,0.022021177,0.002243195
22:32.9,-0.016713799,0.042151073,0.021969072,0.002266851
22:32.9,-0.015410688,0.040849965,0.021571708,0.00200588
22:33.0,-0.016314814,0.042004871,0.022108354,0.002140567
22:33.1,-0.018063973,0.04113816,0.022990814,0.001919289
22:33.3,-0.019097257,0.04173454,0.023109012,0.001851245
22:33.5,-0.017449451,0.0414233,0.023167612,0.00163364
22:33.6,-0.019249754,0.041589131,0.023202506,0.001559758
22:33.7,-0.018983509,0.040753634,0.023718228,0.001369771
22:33.8,-0.019018417,0.040748073,0.023574789,0.001251446
22:34.0,-0.015347414,0.040712077,0.023895899,0.000794251
22:34.1,-0.013328279,0.040821747,0.024269155,0.00064831
22:34.3,-0.013220504,0.040239112,0.024132531,-0.000123443
22:34.4,-0.014132908,0.041599876,0.025164554,0.00019858
22:34.6,-0.015357911,0.041995127,0.023454488,0.000161816
22:34.7,-0.014859028,0.04150125,0.023212189,0.000246291
22:34.8,-0.015326237,0.041669249,0.023521774,-0.000401451
22:35.0,-0.014615445,0.04143498,0.023789086,-0.000589977
22:35.1,-0.014553107,0.042153993,0.02466308,0.000324823
22:35.4,-0.015856707,0.042041991,0.025555727,-0.000752731
22:35.6,-0.016315136,0.042154528,0.024373749,-0.000537116
22:35.8,-0.0167448,0.04225629,0.024207449,-0.000282781
22:35.9,-0.016956616,0.041810811,0.024828854,-2.23E-05
22:36.0,-0.01697459,0.042694483,0.024713377,0.000874599
22:36.1,-0.017344302,0.042617752,0.024432252,-0.000521628
22:36.3,-0.017150214,0.0424347,0.026156577,-0.000142023
22:36.4,-0.016075769,0.043289957,0.02630882,-0.000660966
22:36.5,-0.017947925,0.043107548,0.026527922,-0.000424981
22:36.6,-0.020490037,0.042590087,0.026778333,-0.000640554
22:36.7,-0.022957535,0.043185895,0.02688886,-6.63E-06
22:36.9,-0.022713267,0.044250793,0.02737221,-4.62E-05
22:37.0,-0.022277412,0.043868207,0.026898595,-0.000137607
22:37.1,-0.020642956,0.044497806,0.026682709,4.42E-05
22:37.3,-0.018659339,0.045052983,0.026864046,-0.000299517
22:37.4,-0.016952879,0.045617036,0.026348677,-0.0004327
22:37.6,-0.016113382,0.047673413,0.026352721,-0.000179668
22:37.8,-0.016843027,0.046692873,0.026758067,0.000144727
22:37.9,-0.016210255,0.048279432,0.026430568,0.000326511
22:38.0,-0.016618883,0.047278755,0.026598624,-9.64E-05
22:38.1,-0.016072233,0.04799943,0.026404773,0.000164623
22:38.4,-0.015979344,0.047318259,0.025951175,0.000977846
22:38.5,-0.016143019,0.047096794,0.026387899,0.000517836
22:38.7,-0.01616473,0.047391566,0.025812752,0.000506282
22:38.8,-0.01631515,0.048022451,0.02590611,0.000657787
22:38.9,-0.015868548,0.047973918,0.025882152,0.000920819
22:39.0,-0.015981606,0.048195336,0.025960363,0.000449675
22:39.0,-0.015645754,0.048220508,0.025943969,0.000847206
22:39.1,-0.015646124,0.048310441,0.02634182,0.001046356
22:39.2,-0.015547176,0.04849138,0.026140909,0.000961925
22:39.3,-0.015471369,0.048439086,0.027238951,0.001310743
22:39.4,-0.015445221,0.048848295,0.025522091,0.000941771
22:39.5,-0.015461248,0.048960532,0.026041345,0.001320782
22:39.7,-0.015177036,0.049394542,0.025247345,0.001169307
22:39.8,-0.015136213,0.049457682,0.026050969,0.001707657
22:39.9,-0.014667104,0.049714345,0.025786995,0.001228531
22:40.0,-0.015341735,0.049474442,0.026244621,0.001720644
22:40.1,-0.016049609,0.049188308,0.026885423,0.002073627
22:40.2,-0.014976578,0.049142405,0.027358532,0.001762892
22:40.4,-0.015222446,0.048978777,0.027250121,0.001744613
22:40.6,-0.015235184,0.049538823,0.027163277,0.001791961
22:40.7,-0.015354328,0.049594818,0.027497339,0.002088871
22:40.8,-0.015681044,0.049721398,0.027489192,0.002258222
22:40.9,-0.014978899,0.050309062,0.027159451,0.002418364
22:41.0,-0.015357299,0.050162895,0.027195467,0.002296288
22:41.1,-0.015929869,0.050248886,0.027044081,0.002207832
22:41.3,-0.016050355,0.050558012,0.026450324,0.002371494
22:41.8,-0.015336897,0.050922837,0.026552877,0.002259531
